upload_file_id	upload_path	playbook_id	playbook_title	validation_status	generated_artifact_types	required_missing_input_prompts	protected_topic	guardrail_ids	upload_visibility	route_status	notes
UPKG-000	GPTs/upload_package/00_version_release_platform.md	APB-000017	AID, Version, Release, And Patch Routing Playbook	pass	routing_matrix;source_recheck_plan;version_boundary_note;patch_token_packet;aid_decision_packet;validation_checks	target_version;patch_level;source_id;aid_tier;source_label;release_note_version;bug_or_task_token;platform;tool_version;runtime_evidence;conflict_or_limitation_id;upload_package_decision	yes	CONF-000001;CONF-000002;CONF-000004;CONF-000005;CONF-000006;CONF-000007;CONF-000008;CONF-000009	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-000	GPTs/upload_package/00_version_release_platform.md	APB-000016	Protected Administration Operations Playbook	pass	commands;SQL;configuration;validation_sql;runbook;recovery_plan	target_version;patch_level;operation_class;object_names;startup_phase;source_section;validation_plan;rollback_plan;recovery_plan	yes	CONF-000004;CONF-000005;CONF-000007	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-000	GPTs/upload_package/00_version_release_platform.md	APB-000004	Properties Playbook	pass	configuration;SQL;commands;validation_sql	target_version;property_name;current_value;desired_value;restart_window;rollback_plan;startup_phase;source_section	yes	CONF-000004;CONF-000005	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-000	GPTs/upload_package/00_version_release_platform.md	APB-000005	Dictionary And Views Playbook	pass	SQL;diagnostics;validation_sql	target_version;object_name;view_name;expected_columns;runtime_state	no	CONF-000005	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-000	GPTs/upload_package/00_version_release_platform.md	APB-000014	Test Generation Playbook	planned	tests;SQL;commands;cleanup	target_version;feature_under_test;setup_objects;negative_case;expected_output;cleanup_plan	no	CONF-000004;CONF-000005;CONF-000006;CONF-000007;CONF-000008	deferred_not_uploaded	deferred_guardrail	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-001	GPTs/upload_package/01_getting_started_installation.md	APB-000001	Installation And Startup Playbook	pass	commands;configuration;runbook;validation_sql	target_version;patch_level;platform;install_path;instance_name;startup_state;license_path;rollback_plan	yes	CONF-000004;CONF-000007	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-001	GPTs/upload_package/01_getting_started_installation.md	APB-000011	Tools Playbook	pass	commands;scripts;configuration;diagnostics;validation_checks;SQL	target_version;patch_level;tool_version;platform;input_files;output_files;installed_help;character_set;credentials_policy;rollback_plan	yes	CONF-000004;CONF-000006;CONF-000007	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-001	GPTs/upload_package/01_getting_started_installation.md	APB-000016	Protected Administration Operations Playbook	pass	commands;SQL;configuration;validation_sql;runbook;recovery_plan	target_version;patch_level;operation_class;object_names;startup_phase;source_section;validation_plan;rollback_plan;recovery_plan	yes	CONF-000004;CONF-000005;CONF-000007	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-001	GPTs/upload_package/01_getting_started_installation.md	APB-000017	AID, Version, Release, And Patch Routing Playbook	pass	routing_matrix;source_recheck_plan;version_boundary_note;patch_token_packet;aid_decision_packet;validation_checks	target_version;patch_level;source_id;aid_tier;source_label;release_note_version;bug_or_task_token;platform;tool_version;runtime_evidence;conflict_or_limitation_id;upload_package_decision	yes	CONF-000001;CONF-000002;CONF-000004;CONF-000005;CONF-000006;CONF-000007;CONF-000008;CONF-000009	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-001	GPTs/upload_package/01_getting_started_installation.md	APB-000014	Test Generation Playbook	planned	tests;SQL;commands;cleanup	target_version;feature_under_test;setup_objects;negative_case;expected_output;cleanup_plan	no	CONF-000004;CONF-000005;CONF-000006;CONF-000007;CONF-000008	deferred_not_uploaded	deferred_guardrail	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
